Talent,Activation,Ranked,Description,link,root,Force,sortval,rankbool,comp
Guardian Of The Republic,Passive,No,"Force talent. After the character uses Parry or Reflect to reduce damage to an ally, that ally cannot be targeted by combat checks for the remainder of the round.",https://star-wars-rpg-ffg.fandom.com/wiki/Guardian_Of_The_Republic_talent,True,True,Guardian Of The Republic-A,False,False
Guns Blazing,Active (Incidental),No,"When making a combined combat check with two Ranged (Light) weapons, the character may suffer 2 strain in order to refrain from increasing the difficulty of the check for attacking with two weapons.",https://star-wars-rpg-ffg.fandom.com/wiki/Guns_Blazing_talent,True,False,Guns Blazing-A,False,False
Harass,Active (Incidental),No,"Whenever the character's bonded animal makes a successful combat check, the character may choose to have the attack deal no damage. If so, the target upgrades the difficulty of the next check once. This can stack should multiple creatures perform this action on the same target.",https://star-wars-rpg-ffg.fandom.com/wiki/Harass_talent,True,False,Harass-A,False,False
Hard Headed,Active (Action),Yes,"On any turn in which the character is staggered or disoriented, they may perform the Hard Headed action (even though staggered characters are normally barred from performing actions). The character makes a Daunting Discipline check. If they succeed, they are no longer staggered or disoriented. The difficulty of this check decreases by one per additional rank of Hard Headed, to a minimum of Easy.",https://star-wars-rpg-ffg.fandom.com/wiki/Hard_Headed_talent,True,False,Hard Headed-A,True,False
Improved Hard Headed,Active (Action),No,"The character may use the Hard Headed action to recover from being incapacitated due to exceeding their strain threshold. On their next turn after being incapacitated, the character may make a Formidable Discipline check. If the check is successful, they decrease their strain to one below their strain threshold. The difficulty of this check decreases by one per rank of Hard Headed after the first, to a minimum of Easy.",https://star-wars-rpg-ffg.fandom.com/wiki/Hard_Headed_talent,False,False,Hard Headed-B,False,False
Hard-Boiled,Passive,Yes,"When making a check to recover strain at the end of an encounter, the character may spend an advantage result to recover 1 wound. Advantage results spent this way cannot exceed their ranks in Hard-Boiled.",https://star-wars-rpg-ffg.fandom.com/wiki/Hard-Boiled_talent,True,False,Hard-Boiled-A,True,False
Hawk Bat Swoop,Active (Action),No,"Force talent. The character may take a Hawk Bat Swoop action, performing a Lightsaber (Agility) melee combat check against one target within short range and adding Force dice no greater than Force rating to the pool. The character may spend a Force point before resolving the success or failure of the check to engage the target immediately as an incidental, and may spend a Force point to add an advantage result to the check. If the character cannot move to engage the target, the attack automatically misses.",https://star-wars-rpg-ffg.fandom.com/wiki/Hawk_Bat_Swoop_talent,True,True,Hawk Bat Swoop-A,False,False
Headbutt,Active (Incidental),No,"Once per encounter, the character may perform the Headbutt incidental. The character suffers 2 wounds and selects one engaged non-vehicle target with a silhouette of up to one higher than the character's. The target is knocked prone and is disoriented until the end of the next round.",https://star-wars-rpg-ffg.fandom.com/wiki/Headbutt_talent,True,False,Headbutt-A,False,False
Heal/Harm,Force Ability,Force Ability,"This power reflects a Force user's capacity to manipulate the living energy in things around him. It is the individual's choice, however, whether to use this gift to help others flourish, binding their injuries and making them whole, or to steal their vital essence, ripping the life from them to watch as they wither and die.",https://star-wars-rpg-ffg.fandom.com/wiki/Heal/Harm,True,True,Heal/Harm-A,False,True
Healing Trance,Active (Action),Yes,"Force talent. The character may commit a Force dice. For every full encounter a Force dice remains committed, the character heals 1 wound they are suffering per rank of Healing Trance. This is in addition to wounds healed due to natural rest or other abilities. If in a situation without defined encounters, the GM can have Healing Trance take effect every 12 hours.",https://star-wars-rpg-ffg.fandom.com/wiki/Healing_Trance_talent,True,True,Healing Trance-A,True,False
Improved Healing Trance,Passive,No,"Force talent. Whenever the character heals wounds as a result of Healing Trance, if the character is suffering from a Critical Injury, they make a Resilience check with the difficulty equal to the Critical Injury's severity rating. On a successful check, the character recovers from the Critical Injury. If the character is suffering from multiple Critical Injuries, they choose which one to attempt to recover from.",https://star-wars-rpg-ffg.fandom.com/wiki/Healing_Trance_talent,False,True,Healing Trance-B,False,False
Heavy Hitter,Active (Incidental),No,"Once per session, the character may spend a triumph result on a successful Ranged (Heavy) or Gunnery check to add the Breach 1 quality to the attack, or increase an existing Breach rating by 1.",https://star-wars-rpg-ffg.fandom.com/wiki/Heavy_Hitter_talent,True,False,Heavy Hitter-A,False,False
Heightened Awareness,Passive,No (Yes in Force and Destiny),Allies within short range of the character add a boost dice to their Perception and Vigilance checks. Allies engaged with them add two boost dice instead.,https://star-wars-rpg-ffg.fandom.com/wiki/Heightened_Awareness_talent,True,False,Heightened Awareness-A,True,False
Heroic Fortitude,Active (Incidental),No,The character may spend one Destiny Point to ignore the effects of ongoing Critical Injuries on any Brawn- or Agility-related checks until the end of the encounter. They still suffer from the injury itself.,https://star-wars-rpg-ffg.fandom.com/wiki/Heroic_Fortitude_talent,True,False,Heroic Fortitude-A,False,False
Heroic Resilience,"Active (Incidental, Out of Turn)",No,"Immediately after being hit by a successful combat check but before damage is calculated, the character may spend one Destiny Point to increase their soak by a number equal to their ranks in Resilience.",https://star-wars-rpg-ffg.fandom.com/wiki/Heroic_Resilience_talent,True,False,Heroic Resilience-A,False,False
Hidden Storage,Passive,Yes,"Any large equipment, vehicle, or droid that the character owns has one or more hidden compartments for smuggling appropriately sized gear. The number of compartments is up to the player, but cannot be enough to hold a total encumbrance value of items more than the character's ranks in Hidden Storage. The size of the compartments are proportional to the size of the vehicle or droid in question. Most humanoid droids can only hold items equivalent in size to a one-handed weapon, whereas silhouette 4 starship could conceal humanoids within its compartments. Any checks to detect these compartments have a Formidable difficulty.",https://star-wars-rpg-ffg.fandom.com/wiki/Hidden_Storage_talent,True,False,Hidden Storage-A,True,False
Improved Hidden Storage,Passive,No,"The character may use Hidden Storage to store an item within their own suitably modified body (such as through cybernetics, surgery, or prosthetic replacements).",https://star-wars-rpg-ffg.fandom.com/wiki/Hidden_Storage_talent,False,False,Hidden Storage-B,False,False
High-G Training,"Active (Incidental, Out of Turn)",Yes,"When a starship or vehicle the character is currently piloting would suffer system strain (either voluntary or involuntary), the character may suffer a number of strain up to their ranks in High-G Training. If they do, the amount of system strain the starship or vehicle suffers is reduced by that amount (to a minimum of 0).",https://star-wars-rpg-ffg.fandom.com/wiki/High-G_Training_talent,True,False,High-G Training-A,True,False
